URL                                              | Module                                          | Name                            | Decorator
/tipo-parametro/nuevo/                           | igs_app_base.views.Create                       | tipoparametro_create            | 
/usuario/                                        | igs_app_base.user.vw.List                       | user_list                       | 
/usuario/<int:pk>                                | igs_app_base.user.vw.Read                       | user_read                       | 
/usuario/actualizar/<int:pk>                     | igs_app_base.user.vw.Update                     | user_update                     | 
/usuario/eliminar/<int:pk>                       | igs_app_base.user.vw.Delete                     | user_delete                     | 
/usuario/eliminar/multiple/                      | igs_app_base.user.vw.DeleteMany                 | user_delete_many                | 
/usuario/mi-perfil/                              | igs_app_base.user.vw.Me                         | user_me                         | 
/usuario/nuevo/                                  | igs_app_base.user.vw.Create                     | user_create                     | 
/usuario/reestablecer-password/                  | igs_app_base.user.vw.ResetPassword              | user_reset_password             | 
/usuario/reestablecer-password/<str:username>    | igs_app_base.user.vw.ResetPassword              | user_reset_password             | 
